,step,type,Montant,Clt_Origine,AncienSold_Orig,NewSold_Orig,Clt_Destinataire,AncienSold_Dest,NewSold_Dest,Fraude,isFlaggedFraud,type_num,Type_Ori,Type_Des
6020195,460,CASH_OUT,76548.48,C2032238862,76548.48,0.0,C881850638,2635449.31,2711997.79,1,0,1,C,C
6020196,460,TRANSFER,998086.61,C1107781229,998086.61,0.0,C2074418507,0.0,0.0,1,0,4,C,C
6020197,460,CASH_OUT,998086.61,C175000067,998086.61,0.0,C1507172682,440777.77,1438864.38,1,0,1,C,C
6020202,460,TRANSFER,2059980.16,C1506089450,2059980.16,0.0,C1564280287,0.0,0.0,1,0,4,C,C
6020203,460,CASH_OUT,2059980.16,C617173071,2059980.16,0.0,C706638819,734579.21,2794559.36,1,0,1,C,C
6020206,460,TRANSFER,440962.56,C847706686,440962.56,0.0,C719419922,0.0,0.0,1,0,4,C,C
6020207,460,CASH_OUT,440962.56,C719693497,440962.56,0.0,C1184164392,1196175.58,1637138.14,1,0,1,C,C
6020210,460,TRANSFER,414095.91,C1558078875,414095.91,0.0,C1062681354,0.0,0.0,1,0,4,C,C
6020211,460,CASH_OUT,414095.91,C593887896,414095.91,0.0,C434667197,0.0,414095.91,1,0,1,C,C
6020214,460,TRANSFER,58058.98,C155431672,58058.98,0.0,C1327043210,0.0,0.0,1,0,4,C,C
6020215,460,CASH_OUT,58058.98,C625520344,58058.98,0.0,C1699367271,822974.58,881033.56,1,0,1,C,C
6020227,460,TRANSFER,217666.25,C2100813963,217666.25,0.0,C2073514796,0.0,0.0,1,0,4,C,C
6020228,460,CASH_OUT,217666.25,C1488044664,217666.25,0.0,C60471121,92402.62,310068.87,1,0,1,C,C
6020229,460,TRANSFER,1424002.7,C777622163,1424002.7,0.0,C413417554,0.0,0.0,1,0,4,C,C
6020230,460,CASH_OUT,1424002.7,C9486206,1424002.7,0.0,C2094181723,11407.5,1435410.19,1,0,1,C,C
6020254,461,TRANSFER,1464614.79,C915102234,1464614.79,0.0,C475837987,0.0,0.0,1,0,4,C,C
6020255,461,CASH_OUT,1464614.79,C1138281794,1464614.79,0.0,C1873232780,0.0,1464614.79,1,0,1,C,C
6020256,461,TRANSFER,6273660.45,C1269763321,6273660.45,0.0,C7990337,0.0,0.0,1,0,4,C,C
6020257,461,CASH_OUT,6273660.45,C107395739,6273660.45,0.0,C133285167,763912.31,7037572.76,1,0,1,C,C
6020270,461,TRANSFER,1028284.82,C469537628,1028284.82,0.0,C161770106,0.0,0.0,1,0,4,C,C
6020271,461,CASH_OUT,1028284.82,C2004363483,1028284.82,0.0,C165602524,0.0,1028284.82,1,0,1,C,C
6020272,461,TRANSFER,125153.57,C1460980455,125153.57,0.0,C698942634,0.0,0.0,1,0,4,C,C
6020273,461,CASH_OUT,125153.57,C1856719659,125153.57,0.0,C1226867237,7517.14,132670.71,1,0,1,C,C
6020276,461,TRANSFER,830991.53,C1642150548,830991.53,0.0,C1757788418,0.0,0.0,1,0,4,C,C
6020277,461,CASH_OUT,830991.53,C307666203,830991.53,0.0,C1498742715,48795.65,879787.17,1,0,1,C,C
6020281,461,TRANSFER,873356.47,C1856023832,873356.47,0.0,C625389009,0.0,0.0,1,0,4,C,C
6020282,461,CASH_OUT,873356.47,C528486707,873356.47,0.0,C759025632,105657.71,979014.18,1,0,1,C,C
6020306,461,TRANSFER,227955.85,C32167725,227955.85,0.0,C1980945664,0.0,0.0,1,0,4,C,C
6020307,461,CASH_OUT,227955.85,C1180847965,227955.85,0.0,C217315121,2560547.71,2788503.56,1,0,1,C,C
6020308,461,TRANSFER,226689.16,C1210027591,226689.16,0.0,C673284647,0.0,0.0,1,0,4,C,C
6020309,461,CASH_OUT,226689.16,C98982423,226689.16,0.0,C229328572,173244.92,399934.08,1,0,1,C,C
6020314,462,TRANSFER,151994.59,C1101966116,151994.59,0.0,C1518422608,0.0,0.0,1,0,4,C,C
6020315,462,CASH_OUT,151994.59,C1333813455,151994.59,0.0,C1158263027,0.0,151994.59,1,0,1,C,C
6020316,462,TRANSFER,4342582.37,C1976332867,4342582.37,0.0,C1903233179,0.0,0.0,1,0,4,C,C
6020317,462,CASH_OUT,4342582.37,C978314426,4342582.37,0.0,C1219260366,5398482.58,9741064.96,1,0,1,C,C
6020318,462,TRANSFER,67921.66,C244092764,67921.66,0.0,C1927485075,0.0,0.0,1,0,4,C,C
6020319,462,CASH_OUT,67921.66,C1120272474,67921.66,0.0,C521660749,338544.14,406465.81,1,0,1,C,C
6020320,462,TRANSFER,102464.68,C1418607659,102464.68,0.0,C1595540217,0.0,0.0,1,0,4,C,C
6020321,462,CASH_OUT,102464.68,C287402036,102464.68,0.0,C95792829,117288.38,219753.06,1,0,1,C,C
6020322,462,TRANSFER,46190.9,C2067653411,46190.9,0.0,C1402116137,0.0,0.0,1,0,4,C,C
6020323,462,CASH_OUT,46190.9,C160168142,46190.9,0.0,C1459561697,0.0,46190.9,1,0,1,C,C
6020324,462,TRANSFER,155028.83,C750908080,155028.83,0.0,C279725072,0.0,0.0,1,0,4,C,C
6020325,462,CASH_OUT,155028.83,C909860820,155028.83,0.0,C411004597,0.0,155028.83,1,0,1,C,C
6020326,462,TRANSFER,167743.93,C579573451,167743.93,0.0,C987393521,0.0,0.0,1,0,4,C,C
6020327,462,CASH_OUT,167743.93,C1955616732,167743.93,0.0,C1170488365,219716.29,387460.22,1,0,1,C,C
6020328,462,TRANSFER,1433038.32,C1474789260,1433038.32,0.0,C991335856,0.0,0.0,1,0,4,C,C
6020329,462,CASH_OUT,1433038.32,C994987867,1433038.32,0.0,C725098002,116466.92,1549505.24,1,0,1,C,C
6020330,463,TRANSFER,4152435.91,C1158527799,4152435.91,0.0,C1983304819,0.0,0.0,1,0,4,C,C
6020331,463,CASH_OUT,4152435.91,C869608189,4152435.91,0.0,C1391783413,0.0,4152435.91,1,0,1,C,C
6020332,463,TRANSFER,1168274.14,C1604466708,1168274.14,0.0,C1732055737,0.0,0.0,1,0,4,C,C
6020333,463,CASH_OUT,1168274.14,C383746092,1168274.14,0.0,C794646915,0.0,1168274.14,1,0,1,C,C
6020334,463,TRANSFER,279826.54,C1042499011,279826.54,0.0,C1660783549,0.0,0.0,1,0,4,C,C
6020335,463,CASH_OUT,279826.54,C616239672,279826.54,0.0,C583085719,492054.19,771880.72,1,0,1,C,C
6020336,463,TRANSFER,1968008.53,C1548769886,1968008.53,0.0,C1779956771,0.0,0.0,1,0,4,C,C
6020337,463,CASH_OUT,1968008.53,C1471437030,1968008.53,0.0,C765536045,615855.0,2583863.54,1,0,1,C,C
6020338,463,TRANSFER,219300.76,C60906417,219300.76,0.0,C1482453836,0.0,0.0,1,0,4,C,C
6020339,463,CASH_OUT,219300.76,C1410654808,219300.76,0.0,C1763889280,19058370.95,19277671.71,1,0,1,C,C
6020340,464,TRANSFER,4640633.37,C180932654,4640633.37,0.0,C1673286866,0.0,0.0,1,0,4,C,C
6020341,464,CASH_OUT,4640633.37,C2144262905,4640633.37,0.0,C1372520966,0.0,4640633.37,1,0,1,C,C
6020342,464,TRANSFER,880975.83,C1991993954,880975.83,0.0,C1163515588,0.0,0.0,1,0,4,C,C
6020343,464,CASH_OUT,880975.83,C97407183,880975.83,0.0,C665978376,1271.78,882247.61,1,0,1,C,C
6020344,464,TRANSFER,1219062.64,C357942750,1219062.64,0.0,C1229695480,0.0,0.0,1,0,4,C,C
6020345,464,CASH_OUT,1219062.64,C1256913473,1219062.64,0.0,C967785353,278750.5,1497813.13,1,0,1,C,C
6020346,464,TRANSFER,1027963.96,C2080701542,1027963.96,0.0,C446782589,0.0,0.0,1,0,4,C,C
6020347,464,CASH_OUT,1027963.96,C1009032350,1027963.96,0.0,C1867593514,3216668.79,4244632.75,1,0,1,C,C
6020348,464,TRANSFER,125464.42,C132433393,125464.42,0.0,C254097050,0.0,0.0,1,0,4,C,C
6020349,464,CASH_OUT,125464.42,C448860094,125464.42,0.0,C1332940364,332131.92,457596.34,1,0,1,C,C
6020350,464,TRANSFER,1506795.1,C1107109708,1506795.1,0.0,C2110704276,0.0,0.0,1,0,4,C,C
6020351,464,CASH_OUT,1506795.1,C1504023425,1506795.1,0.0,C538717920,39851.76,1546646.86,1,0,1,C,C
6020352,464,TRANSFER,86111.65,C2018450953,86111.65,0.0,C1122913595,0.0,0.0,1,0,4,C,C
6020353,464,CASH_OUT,86111.65,C1793151553,86111.65,0.0,C1653796300,109520.16,195631.81,1,0,1,C,C
6020354,464,TRANSFER,336917.97,C1108270870,336917.97,0.0,C815315430,0.0,0.0,1,0,4,C,C
6020355,464,CASH_OUT,336917.97,C927102285,336917.97,0.0,C1526518047,229355.59,566273.55,1,0,1,C,C
6020356,465,TRANSFER,2577489.07,C939367162,2577489.07,0.0,C2087484651,0.0,0.0,1,0,4,C,C
6020357,465,CASH_OUT,2577489.07,C1475261726,2577489.07,0.0,C1054474053,0.0,2577489.07,1,0,1,C,C
6020358,465,TRANSFER,563388.67,C1663837850,563388.67,0.0,C76747824,0.0,0.0,1,0,4,C,C
6020359,465,CASH_OUT,563388.67,C1205919663,563388.67,0.0,C1646816538,0.0,563388.67,1,0,1,C,C
6020360,465,TRANSFER,461255.26,C470923235,461255.26,0.0,C588226024,0.0,0.0,1,0,4,C,C
6020361,465,CASH_OUT,461255.26,C1047897914,461255.26,0.0,C559992116,34467.19,495722.45,1,0,1,C,C
6020362,465,TRANSFER,44946.2,C1504640849,44946.2,0.0,C1013931672,0.0,0.0,1,0,4,C,C
6020363,465,CASH_OUT,44946.2,C1797253023,44946.2,0.0,C1822942612,1136952.09,1181898.29,1,0,1,C,C
6020364,465,TRANSFER,4690769.98,C43271707,4690769.98,0.0,C2144586539,0.0,0.0,1,0,4,C,C
6020365,465,CASH_OUT,4690769.98,C1265105517,4690769.98,0.0,C1603347069,0.0,4690769.98,1,0,1,C,C
6020366,465,TRANSFER,1760061.57,C1704841255,1760061.57,0.0,C1345313578,0.0,0.0,1,0,4,C,C
6020367,465,CASH_OUT,1760061.57,C1907027988,1760061.57,0.0,C1368065448,142305.44,1902367.02,1,0,1,C,C
6020472,466,TRANSFER,104171.37,C952245558,104171.37,0.0,C2101227966,0.0,0.0,1,0,4,C,C
6020473,466,CASH_OUT,104171.37,C1321085787,104171.37,0.0,C203735779,64407.18,168578.56,1,0,1,C,C
6020853,466,TRANSFER,4364760.42,C1197632627,4364760.42,0.0,C736141903,0.0,0.0,1,0,4,C,C
6020854,466,CASH_OUT,4364760.42,C821777202,4364760.42,0.0,C1421637972,91395.98,4456156.41,1,0,1,C,C
6020957,466,TRANSFER,230806.85,C549647828,230806.85,0.0,C13373079,0.0,0.0,1,0,4,C,C
6020958,466,CASH_OUT,230806.85,C1891374197,230806.85,0.0,C1590958349,1599122.59,1829929.44,1,0,1,C,C
6021352,467,TRANSFER,171623.1,C1057975418,171623.1,0.0,C864888723,0.0,0.0,1,0,4,C,C
6021353,467,CASH_OUT,171623.1,C859067773,171623.1,0.0,C936547996,76632.01,248255.12,1,0,1,C,C
6021354,467,TRANSFER,5937.19,C904059459,5937.19,0.0,C1237495348,0.0,0.0,1,0,4,C,C
6021355,467,CASH_OUT,5937.19,C1719825701,5937.19,0.0,C1058945845,36171.27,42108.46,1,0,1,C,C
6021356,467,TRANSFER,2108440.98,C581609779,2108440.98,0.0,C224105862,0.0,0.0,1,0,4,C,C
6021357,467,CASH_OUT,2108440.98,C858034086,2108440.98,0.0,C233159904,0.0,2108440.98,1,0,1,C,C
6021358,467,TRANSFER,269722.42,C280460099,269722.42,0.0,C1478799121,0.0,0.0,1,0,4,C,C
6021359,467,CASH_OUT,269722.42,C1709776685,269722.42,0.0,C1845662039,24817.83,294540.26,1,0,1,C,C
6021360,467,TRANSFER,636942.02,C747042147,636942.02,0.0,C310235538,0.0,0.0,1,0,4,C,C
6021361,467,CASH_OUT,636942.02,C1873382948,636942.02,0.0,C916193312,46336.09,683278.11,1,0,1,C,C
6021362,467,TRANSFER,144283.42,C1294019179,144283.42,0.0,C63457750,0.0,0.0,1,0,4,C,C
6021363,467,CASH_OUT,144283.42,C1478536822,144283.42,0.0,C1266929646,0.0,144283.42,1,0,1,C,C
6021364,468,TRANSFER,1165187.89,C1125545468,1165187.89,0.0,C1693214292,0.0,0.0,1,0,4,C,C
6021365,468,CASH_OUT,1165187.89,C1626151700,1165187.89,0.0,C184686299,0.0,1165187.89,1,0,1,C,C
6021366,468,TRANSFER,764646.4,C618333968,764646.4,0.0,C830994571,0.0,0.0,1,0,4,C,C
6021367,468,CASH_OUT,764646.4,C2035637987,764646.4,0.0,C1696840371,0.0,764646.4,1,0,1,C,C
6021368,468,TRANSFER,155926.42,C161250720,155926.42,0.0,C314194629,0.0,0.0,1,0,4,C,C
6021369,468,CASH_OUT,155926.42,C19001916,155926.42,0.0,C654239643,369481.23,525407.65,1,0,1,C,C
6021370,468,TRANSFER,652782.54,C851249845,652782.54,0.0,C2109638287,0.0,0.0,1,0,4,C,C
6021371,468,CASH_OUT,652782.54,C1743463751,652782.54,0.0,C400200038,170737.43,823519.97,1,0,1,C,C
6021372,468,TRANSFER,1455382.05,C1459301109,1455382.05,0.0,C1248513597,0.0,0.0,1,0,4,C,C
6021373,468,CASH_OUT,1455382.05,C1519723202,1455382.05,0.0,C2047987740,216454.16,1671836.21,1,0,1,C,C
6021374,468,TRANSFER,19952.89,C10974087,19952.89,0.0,C1896366978,0.0,0.0,1,0,4,C,C
6021375,468,CASH_OUT,19952.89,C1054388169,19952.89,0.0,C1350880657,41255.75,61208.64,1,0,1,C,C
6022060,469,TRANSFER,4417191.86,C2061241585,4417191.86,0.0,C558432551,0.0,0.0,1,0,4,C,C
6022061,469,CASH_OUT,4417191.86,C790582807,4417191.86,0.0,C690378183,188202.71,4605394.57,1,0,1,C,C
6024603,469,TRANSFER,245106.78,C568285041,245106.78,0.0,C867659609,0.0,0.0,1,0,4,C,C
6024604,469,CASH_OUT,245106.78,C1403929359,245106.78,0.0,C1934932538,2622766.27,2867873.04,1,0,1,C,C
6026278,469,TRANSFER,10000000.0,C1519426085,16484526.8,6484526.8,C1185086386,0.0,0.0,1,0,4,C,C
6026279,469,CASH_OUT,10000000.0,C210168934,10000000.0,0.0,C1856701476,817443.72,10817443.72,1,0,1,C,C
6026280,469,TRANSFER,6484526.8,C2041942844,6484526.8,0.0,C1100722756,0.0,0.0,1,0,4,C,C
6026281,469,CASH_OUT,6484526.8,C370286354,6484526.8,0.0,C1781740019,200765.69,6685292.49,1,0,1,C,C
6027392,470,TRANSFER,913684.05,C182934676,913684.05,0.0,C1568271281,0.0,0.0,1,0,4,C,C
6027393,470,CASH_OUT,913684.05,C1959891582,913684.05,0.0,C1804810309,410443.03,1324127.08,1,0,1,C,C
6027394,470,TRANSFER,8177.04,C1053675722,8177.04,0.0,C503599136,0.0,0.0,1,0,4,C,C
6027395,470,CASH_OUT,8177.04,C1664997307,8177.04,0.0,C1806348809,842143.06,850320.1,1,0,1,C,C
6027396,470,TRANSFER,2198220.97,C1393439924,2198220.97,0.0,C851338379,0.0,0.0,1,0,4,C,C
6027397,470,CASH_OUT,2198220.97,C733220553,2198220.97,0.0,C362029597,3319056.61,5517277.58,1,0,1,C,C
6027398,470,TRANSFER,2859010.61,C2075115765,2859010.61,0.0,C2025150574,0.0,0.0,1,0,4,C,C
6027399,470,CASH_OUT,2859010.61,C1981956148,2859010.61,0.0,C289828816,0.0,2859010.61,1,0,1,C,C
6027400,470,TRANSFER,864994.24,C504859386,864994.24,0.0,C1412133328,0.0,0.0,1,0,4,C,C
6027401,470,CASH_OUT,864994.24,C676427076,864994.24,0.0,C1523524779,266074.0,1028020.38,1,0,1,C,C
6027402,470,TRANSFER,120843.94,C1360860736,120843.94,0.0,C832749526,0.0,0.0,1,0,4,C,C
6027403,470,CASH_OUT,120843.94,C2122237253,120843.94,0.0,C1217175630,1710553.99,1831397.93,1,0,1,C,C
6027553,471,TRANSFER,504344.93,C653557164,504344.93,0.0,C37138390,0.0,0.0,1,0,4,C,C
6027554,471,CASH_OUT,504344.93,C1384579214,504344.93,0.0,C1459458578,73094.14,577439.07,1,0,1,C,C
6030054,472,TRANSFER,586801.3,C2045012639,586801.3,0.0,C529372268,0.0,0.0,1,0,4,C,C
6030055,472,CASH_OUT,586801.3,C951521494,586801.3,0.0,C2063022949,217402.84,804204.13,1,0,1,C,C
6030059,472,TRANSFER,2739869.62,C957619820,2739869.62,0.0,C1424435329,0.0,0.0,1,0,4,C,C
6030060,472,CASH_OUT,2739869.62,C342873826,2739869.62,0.0,C1459518542,0.0,2739869.62,1,0,1,C,C
6030084,472,TRANSFER,653983.93,C951821221,653983.93,0.0,C1535144828,0.0,0.0,1,0,4,C,C
6030085,472,CASH_OUT,653983.93,C1069288733,653983.93,0.0,C1731869105,659112.38,1313096.31,1,0,1,C,C
6030086,472,TRANSFER,63440.63,C1431701654,63440.63,0.0,C906449417,0.0,0.0,1,0,4,C,C
6030087,472,CASH_OUT,63440.63,C1047682756,63440.63,0.0,C1400720500,26850.23,90290.87,1,0,1,C,C
6030108,473,TRANSFER,70239.81,C731157772,70239.81,0.0,C182956313,0.0,0.0,1,0,4,C,C
6030109,473,CASH_OUT,70239.81,C867506541,70239.81,0.0,C1424690592,255444.42,325684.23,1,0,1,C,C
6030110,473,TRANSFER,417620.07,C1833923167,417620.07,0.0,C2045180381,0.0,0.0,1,0,4,C,C
6030111,473,CASH_OUT,417620.07,C281624402,417620.07,0.0,C197249105,0.0,417620.07,1,0,1,C,C
6030112,473,TRANSFER,36996.83,C528147634,36996.83,0.0,C1140712757,0.0,0.0,1,0,4,C,C
6030113,473,CASH_OUT,36996.83,C77588545,36996.83,0.0,C826538510,729398.84,766395.67,1,0,1,C,C
6030114,473,TRANSFER,179700.14,C307539719,179700.14,0.0,C434694643,0.0,0.0,1,0,4,C,C
6030115,473,CASH_OUT,179700.14,C1270751664,179700.14,0.0,C1991324873,1792.34,181492.48,1,0,1,C,C
6030116,473,TRANSFER,7009.93,C53019393,7009.93,0.0,C304768770,0.0,0.0,1,0,4,C,C
6030117,473,CASH_OUT,7009.93,C2022649541,7009.93,0.0,C239424906,0.0,7009.93,1,0,1,C,C
6030596,474,TRANSFER,87167.88,C1618990848,87167.88,0.0,C959315595,0.0,0.0,1,0,4,C,C
6030597,474,CASH_OUT,87167.88,C817565031,87167.88,0.0,C2032615769,421005.27,508173.15,1,0,1,C,C
6030759,474,TRANSFER,149975.43,C535716283,149975.43,0.0,C1659926495,0.0,0.0,1,0,4,C,C
6030760,474,CASH_OUT,149975.43,C1846777916,149975.43,0.0,C1899546171,298776.08,448751.51,1,0,1,C,C
6031442,474,TRANSFER,1499869.54,C687615410,1499869.54,0.0,C1163176037,0.0,0.0,1,0,4,C,C
6031443,474,CASH_OUT,1499869.54,C285314242,1499869.54,0.0,C345891541,9546574.32,11046443.85,1,0,1,C,C
6032487,474,TRANSFER,1165171.47,C107566089,1165171.47,0.0,C956043310,0.0,0.0,1,0,4,C,C
6032488,474,CASH_OUT,1165171.47,C1827869035,1165171.47,0.0,C372062896,371852.42,1537023.88,1,0,1,C,C
6032846,475,TRANSFER,1064995.85,C932045964,1064995.85,0.0,C69741433,0.0,0.0,1,0,4,C,C
6032847,475,CASH_OUT,1064995.85,C1191482277,1064995.85,0.0,C174516315,0.0,1064995.85,1,0,1,C,C
6032848,475,TRANSFER,876753.11,C1483122432,876753.11,0.0,C1940362937,0.0,0.0,1,0,4,C,C
6032849,475,CASH_OUT,876753.11,C1127304441,876753.11,0.0,C1403814902,0.0,876753.11,1,0,1,C,C
6032850,475,TRANSFER,20111.45,C644302607,20111.45,0.0,C457206167,0.0,0.0,1,0,4,C,C
6032851,475,CASH_OUT,20111.45,C1538717187,20111.45,0.0,C685749303,1431418.64,1451530.08,1,0,1,C,C
6032852,475,TRANSFER,71511.19,C5272295,71511.19,0.0,C1553362573,0.0,0.0,1,0,4,C,C
6032853,475,CASH_OUT,71511.19,C743231238,71511.19,0.0,C488128368,0.0,71511.19,1,0,1,C,C
6032854,475,TRANSFER,9511.69,C806333119,9511.69,0.0,C922111429,0.0,0.0,1,0,4,C,C
6032855,475,CASH_OUT,9511.69,C1550140499,9511.69,0.0,C119015629,745613.01,755124.7,1,0,1,C,C
6032856,475,TRANSFER,11424.36,C1596047986,11424.36,0.0,C1251374638,0.0,0.0,1,0,4,C,C
6032857,475,CASH_OUT,11424.36,C358552175,11424.36,0.0,C11759889,155495.9,166920.26,1,0,1,C,C
6032858,475,TRANSFER,29611.08,C1481115689,29611.08,0.0,C370888897,0.0,0.0,1,0,4,C,C
6032859,475,CASH_OUT,29611.08,C779716783,29611.08,0.0,C1919160151,723084.29,752695.37,1,0,1,C,C
6033047,476,TRANSFER,468599.79,C1023402674,468599.79,0.0,C1914393339,0.0,0.0,1,0,4,C,C
6033048,476,CASH_OUT,468599.79,C360538311,468599.79,0.0,C1834951696,37278.5,505878.3,1,0,1,C,C
6034231,476,TRANSFER,1146381.44,C1637636459,1146381.44,0.0,C514013862,0.0,0.0,1,0,4,C,C
6034232,476,CASH_OUT,1146381.44,C169415375,1146381.44,0.0,C1774696541,484779.21,1631160.65,1,0,1,C,C
6034792,476,TRANSFER,1048.63,C961613398,1048.63,0.0,C1939685950,0.0,0.0,1,0,4,C,C
6034793,476,CASH_OUT,1048.63,C82858527,1048.63,0.0,C390897002,62895.35,63943.98,1,0,1,C,C
6036301,476,TRANSFER,37394.15,C883298030,37394.15,0.0,C441954287,0.0,0.0,1,0,4,C,C
6036302,476,CASH_OUT,37394.15,C534886270,37394.15,0.0,C998024073,281667.87,319062.02,1,0,1,C,C
6036615,477,TRANSFER,338293.14,C958803448,338293.14,0.0,C229298168,0.0,0.0,1,0,4,C,C
6036616,477,CASH_OUT,338293.14,C1232836519,338293.14,0.0,C1361370826,4293922.64,4632215.78,1,0,1,C,C
6036617,477,TRANSFER,6646879.72,C2023738276,6646879.72,0.0,C1104022737,0.0,0.0,1,0,4,C,C
6036618,477,CASH_OUT,6646879.72,C356905617,6646879.72,0.0,C1736990542,1290212.82,7937092.54,1,0,1,C,C
6036619,477,TRANSFER,9639524.7,C1490771263,9639524.7,0.0,C486822956,0.0,0.0,1,0,4,C,C
6036620,477,CASH_OUT,9639524.7,C560583390,9639524.7,0.0,C1975522590,0.0,9639524.7,1,0,1,C,C
6036621,477,TRANSFER,1720600.92,C535695455,1720600.92,0.0,C888712424,0.0,0.0,1,0,4,C,C
6036622,477,CASH_OUT,1720600.92,C1928293922,1720600.92,0.0,C2120663616,5085691.59,6806292.51,1,0,1,C,C
6036623,477,TRANSFER,815297.9,C1885333477,815297.9,0.0,C742632200,0.0,0.0,1,0,4,C,C
6036624,477,CASH_OUT,815297.9,C533672978,815297.9,0.0,C1910425961,363475.49,1178773.39,1,0,1,C,C
6037805,478,TRANSFER,2254718.25,C1119251343,2254718.25,0.0,C1394440708,0.0,0.0,1,0,4,C,C
6037806,478,CASH_OUT,2254718.25,C1472018335,2254718.25,0.0,C1247462330,123702.38,2378420.62,1,0,1,C,C
6037832,478,TRANSFER,829286.58,C1357479917,829286.58,0.0,C2091222833,0.0,0.0,1,0,4,C,C
6037833,478,CASH_OUT,829286.58,C63485295,829286.58,0.0,C801090621,178393.69,1007680.27,1,0,1,C,C
6038103,478,TRANSFER,51183.25,C1783931496,51183.25,0.0,C10748060,0.0,0.0,1,0,4,C,C
6038104,478,CASH_OUT,51183.25,C1702286599,51183.25,0.0,C2107067819,0.0,51183.25,1,0,1,C,C
6038568,479,TRANSFER,6669495.34,C1780532253,6669495.34,0.0,C2065569880,0.0,0.0,1,0,4,C,C
6038569,479,CASH_OUT,6669495.34,C155884105,6669495.34,0.0,C52395788,251579.17,6921074.51,1,0,1,C,C
6038846,479,TRANSFER,799517.33,C805718496,799517.33,0.0,C1770271268,0.0,0.0,1,0,4,C,C
6038847,479,CASH_OUT,799517.33,C1299137401,799517.33,0.0,C466144148,67824.14,867341.47,1,0,1,C,C
6039437,480,TRANSFER,146743.13,C159173164,146743.13,0.0,C1585124596,0.0,0.0,1,0,4,C,C
6039438,480,CASH_OUT,146743.13,C705070035,146743.13,0.0,C1831159717,140211.84,286954.97,1,0,1,C,C
6039439,480,TRANSFER,181104.66,C2060560456,181104.66,0.0,C297560462,0.0,0.0,1,0,4,C,C
6039440,480,CASH_OUT,181104.66,C1368229796,181104.66,0.0,C491258942,205812.52,386917.18,1,0,1,C,C
6039441,480,TRANSFER,644781.76,C1053760019,644781.76,0.0,C902583523,0.0,0.0,1,0,4,C,C
6039442,480,CASH_OUT,644781.76,C541658626,644781.76,0.0,C911995008,0.0,644781.76,1,0,1,C,C
6039443,481,TRANSFER,130668.56,C349322282,130668.56,0.0,C1470984619,0.0,0.0,1,0,4,C,C
6039444,481,CASH_OUT,130668.56,C1722932683,130668.56,0.0,C1992581465,2403740.71,2534409.27,1,0,1,C,C
6039445,481,TRANSFER,305183.84,C1457867360,305183.84,0.0,C1143524875,0.0,0.0,1,0,4,C,C
6039446,481,CASH_OUT,305183.84,C1505496365,305183.84,0.0,C1263395993,470854.17,776038.0,1,0,1,C,C
6039447,481,TRANSFER,190215.18,C1544182108,190215.18,0.0,C1927390532,0.0,0.0,1,0,4,C,C
6039448,481,CASH_OUT,190215.18,C884840595,190215.18,0.0,C1836069154,0.0,190215.18,1,0,1,C,C
6039449,481,TRANSFER,832811.84,C1215783470,832811.84,0.0,C1131260473,0.0,0.0,1,0,4,C,C
6039450,481,CASH_OUT,832811.84,C1897651048,832811.84,0.0,C372865996,0.0,832811.84,1,0,1,C,C
6039451,481,TRANSFER,1710180.37,C2136325294,1710180.37,0.0,C1970232075,0.0,0.0,1,0,4,C,C
6039452,481,CASH_OUT,1710180.37,C670354135,1710180.37,0.0,C577804571,934700.52,2644880.89,1,0,1,C,C
6039453,481,TRANSFER,20296.68,C1415686677,20296.68,0.0,C384177810,0.0,0.0,1,0,4,C,C
6039454,481,CASH_OUT,20296.68,C2072968042,20296.68,0.0,C1480258945,129269.88,149566.56,1,0,1,C,C
6039455,481,TRANSFER,548677.33,C703367289,548677.33,0.0,C428179224,0.0,0.0,1,0,4,C,C
6039456,481,CASH_OUT,548677.33,C676285921,548677.33,0.0,C1205336218,139582.33,688259.65,1,0,1,C,C
6039457,482,TRANSFER,732198.35,C1898408959,732198.35,0.0,C38559733,0.0,0.0,1,0,4,C,C
6039458,482,CASH_OUT,732198.35,C2105445146,732198.35,0.0,C10585515,673285.12,1405483.47,1,0,1,C,C
6039459,482,TRANSFER,75659.33,C807173004,75659.33,0.0,C1577384296,0.0,0.0,1,0,4,C,C
6039460,482,CASH_OUT,75659.33,C1659770923,75659.33,0.0,C381855260,850226.66,925885.99,1,0,1,C,C
6039461,482,TRANSFER,132438.82,C677179162,132438.82,0.0,C520559752,0.0,0.0,1,0,4,C,C
6039462,482,CASH_OUT,132438.82,C561223504,132438.82,0.0,C212208463,0.0,132438.82,1,0,1,C,C
6039463,482,TRANSFER,1059347.56,C1918912745,1059347.56,0.0,C1999367128,0.0,0.0,1,0,4,C,C
6039464,482,CASH_OUT,1059347.56,C1625110990,1059347.56,0.0,C1705027319,234543.3,1293890.85,1,0,1,C,C
6039465,482,TRANSFER,296186.51,C792080112,296186.51,0.0,C1606793865,0.0,0.0,1,0,4,C,C
6039466,482,CASH_OUT,296186.51,C306373969,296186.51,0.0,C1858951589,668223.65,964410.16,1,0,1,C,C
6039467,482,TRANSFER,1451083.08,C1888769481,1451083.08,0.0,C1653981424,0.0,0.0,1,0,4,C,C
6039468,482,CASH_OUT,1451083.08,C727140107,1451083.08,0.0,C1279293168,0.0,1451083.08,1,0,1,C,C
